z,ocv,R0,R1,C1,R2,C2
0,2.98,0.0461046,0.0080324,412.979,0.0712753,960.563
0.0271755,3.07682,0.0363267,0.00736708,427.639,0.0435791,1409.57
0.055788,3.16486,0.0325562,0.00711724,444.665,0.0367937,2430.48
0.0844005,3.23874,0.0296388,0.00704307,452.392,0.0327806,2971.43
0.113013,3.31379,0.0272563,0.00966064,331.778,0.023728,4309.96
0.141625,3.37641,0.0233755,0.00961054,334.509,0.0237955,4383.98
0.170238,3.42942,0.0227735,0.00961064,334.535,0.0237833,4386.29
0.19885,3.46165,0.0232816,0.00961064,334.535,0.0237833,4386.29
0.227463,3.48018,0.0227156,0.00981177,321.929,0.0272006,5198.32
0.256076,3.49589,0.0205792,0.00976905,322.892,0.0171886,9605.1
0.284688,3.52205,0.0201825,0.00976905,322.892,0.0171886,9605.1
0.313301,3.55148,0.020573,0.00962382,327.675,0.0189171,7927.45
0.341913,3.57945,0.0205717,0.00990843,320.091,0.0189027,7906.7
0.370526,3.60379,0.0183738,0.00998369,319.247,0.026348,5049.11
0.399138,3.62467,0.0190183,0.00934983,327.948,0.027578,4812.38
0.42775,3.6439,0.0186261,0.00984324,277.251,0.0267214,5291.49
0.456363,3.66142,0.0199661,0.00933986,287.708,0.0279013,4604.34
0.484975,3.67684,0.0199998,0.00913168,288.25,0.0262298,5964.86
0.513588,3.69537,0.0211066,0.00902584,294.436,0.0261991,5816.2
0.5422,3.71704,0.0207296,0.00911611,302.032,0.0255691,8128.57
0.570813,3.74419,0.0205189,0.00911703,301.988,0.0254782,8158.6
0.599425,3.7664,0.0217325,0.00921011,299.307,0.0255091,8192.4
0.628038,3.79056,0.0202984,0.0092974,299.896,0.0170718,15000.6
0.65665,3.81717,0.0213919,0.0092974,299.896,0.0170718,15000.6
0.685263,3.84685,0.0205584,0.00930258,303.925,0.0150465,19017.5
0.713875,3.88015,0.0206386,0.00926051,275.797,0.0217148,8057.34
0.742488,3.90644,0.021206,0.00951048,267.845,0.0216735,8660.31
0.7711,3.92832,0.0223447,0.00942763,269.512,0.020599,8612.4
0.799713,3.95165,0.0212192,0.00946019,263.54,0.0205008,8540.34
0.828325,3.97521,0.0207293,0.00974401,251.847,0.0135639,5889.79
0.856938,4.00385,0.0211497,0.00926054,267.92,0.0133405,5826.21
0.88555,4.03264,0.0190266,0.00925487,268.052,0.0127713,5568.02
0.914163,4.05695,0.0197974,0.00911108,270.606,0.014968,4557.55
0.942775,4.07396,0.0222677,0.00883703,275.536,0.00756884,9283.78
1,4.08895,0.0200835,0.00876758,274.457,0.00726346,10226.9
