Positive particle stoichiometry,Positive electrode open-circuit potential [V]
0.21,4.288102031
0.21004478,4.210892773
0.219269532,4.175283892
0.261497402,4.172472367
0.332354842,4.172738781
0.409317336,4.158176665
0.474174208,4.152479924
0.526985168,4.143767596
0.560316674,4.11121965
0.575706188,4.048901275
0.582273973,3.941995276
0.585975815,3.805375531
0.590901654,3.725196032
0.598588947,3.695521965
0.655863013,3.698707605
0.696598205,3.69292017
0.741871138,3.684179499
0.802205196,3.678465753
0.864031932,3.675727917
0.930500897,3.649245158
0.959279735,3.62262069
0.979341333,3.530616911
0.980053837,3.450437411
0.983058101,3.391026925
0.992282853,3.355418044
0.996268304,3.162363722
0.999940293,3.031684459
