Negative particle concentration [mol.m-3],Negative electrode exchange-current density rate [m.s-1]
121.359223,3.33E-11
412.621359,2.15E-11
631.067961,1.39E-11
800.970874,9.40E-12
970.873786,6.88E-12
1140.776699,5.71E-12
1262.135922,5.26E-12
1529.126214,7.03E-12
1796.116505,1.04E-11
2063.106796,1.58E-11
2500,2.65E-11
3058.252427,4.18E-11
3713.592233,5.83E-11
4660.194175,7.48E-11
5412.621359,7.96E-11
6067.961165,7.48E-11
6868.932039,6.47E-11
7718.446602,4.94E-11
8422.330097,3.47E-11
9004.854369,2.39E-11
9538.834951,1.61E-11
10024.27184,1.21E-11
10388.34951,1.06E-11
10752.42718,1.13E-11
11213.59223,1.51E-11
11723.30097,2.25E-11
12378.64078,3.54E-11
12912.62136,4.94E-11
13470.87379,6.34E-11
14004.85437,7.48E-11
14417.47573,7.96E-11
