OCV [V],Temperature [degC],dUdT [V/K]
3.1,-20,-0.0010576663320507884
3.1,0,-0.001269199598460946
3.1,20,-0.0014807328648711038
3.1,40,-0.0015864994980761826
3.15,-20,-0.0008144336478441427
3.15,0,-0.0009773203774129712
3.15,20,-0.0011402071069817998
3.15,40,-0.001221650471766214
3.1999999999999997,-20,-0.000607206498346391
3.1999999999999997,0,-0.0007286477980156691
3.1999999999999997,20,-0.0008500890976849473
3.1999999999999997,40,-0.0009108097475195864
3.2499999999999996,-20,-0.0004332237633991043
3.2499999999999996,0,-0.0005198685160789251
3.2499999999999996,20,-0.000606513268758746
3.2499999999999996,40,-0.0006498356450986564
3.2999999999999994,-20,-0.00028972432284410377
3.2999999999999994,0,-0.00034766918741292453
3.2999999999999994,20,-0.00040561405198174524
3.2999999999999994,40,-0.00043458648426615565
3.349999999999999,-20,-0.00017394705652298836
3.349999999999999,0,-0.00020873646782758603
3.349999999999999,20,-0.0002435258791321837
3.349999999999999,40,-0.00026092058478448255
3.399999999999999,-20,-8.313084427744033e-05
3.399999999999999,0,-9.97570131329284e-05
3.399999999999999,20,-0.00011638318198841646
3.399999999999999,40,-0.0001246962664161605
3.449999999999999,-20,-1.4514565949169667e-05
3.449999999999999,0,-1.74174791390036e-05
3.449999999999999,20,-2.032039232883753e-05
3.449999999999999,40,-2.17718489237545e-05
3.4999999999999987,-20,3.4662898620113625e-05
3.4999999999999987,0,4.1595478344136346e-05
3.4999999999999987,20,4.852805806815907e-05
3.4999999999999987,40,5.199434793017044e-05
3.5499999999999985,-20,6.716266958867179e-05
3.5499999999999985,0,8.059520350640614e-05
3.5499999999999985,20,9.40277374241405e-05
3.5499999999999985,40,0.00010074400438300768
3.5999999999999983,-20,8.574586711496135e-05
3.5999999999999983,0,0.00010289504053795362
3.5999999999999983,20,0.00012004421396094588
3.5999999999999983,40,0.00012861880067244202
3.649999999999998,-20,9.317361135710578e-05
3.649999999999998,0,0.00011180833362852693
3.649999999999998,20,0.00013044305589994808
3.649999999999998,40,0.00013976041703565867
3.699999999999998,-20,9.220702247364487e-05
3.699999999999998,0,0.00011064842696837384
3.699999999999998,20,0.0001290898314631028
3.699999999999998,40,0.0001383105337104673
3.749999999999998,-20,8.560722062261883e-05
3.749999999999998,0,0.0001027286647471426
3.749999999999998,20,0.00011985010887166635
3.749999999999998,40,0.00012841083093392824
3.7999999999999976,-20,7.613532596253969e-05
3.7999999999999976,0,9.136239115504763e-05
3.7999999999999976,20,0.00010658945634755556
3.7999999999999976,40,0.00011420298894380954
3.8499999999999974,-20,6.65524586516697e-05
3.8499999999999974,0,7.986295038200363e-05
3.8499999999999974,20,9.317344211233757e-05
3.8499999999999974,40,9.982868797750455e-05
3.8999999999999972,-20,5.96197388482711e-05
3.8999999999999972,0,7.154368661792532e-05
3.8999999999999972,20,8.346763438757953e-05
3.8999999999999972,40,8.942960827240665e-05
3.949999999999997,-20,5.809828671071715e-05
3.949999999999997,0,6.971794405286058e-05
3.949999999999997,20,8.133760139500401e-05
3.949999999999997,40,8.714743006607573e-05
3.999999999999997,-20,6.474922239715908e-05
3.999999999999997,0,7.76990668765909e-05
3.999999999999997,20,9.06489113560227e-05
3.999999999999997,40,9.712383359573862e-05
4.049999999999997,-20,8.233366606616443e-05
4.049999999999997,0,9.880039927939732e-05
4.049999999999997,20,0.0001152671324926302
4.049999999999997,40,0.00012350049909924665
4.099999999999996,-20,0.00011361273787588444
4.099999999999996,0,0.00013633528545106132
4.099999999999996,20,0.0001590578330262382
4.099999999999996,40,0.00017041910681382666
4.149999999999997,-20,0.0001613475579846091
4.149999999999997,0,0.0001936170695815309
4.149999999999997,20,0.0002258865811784527
4.149999999999997,40,0.00024202133697691364
4.199999999999996,-20,0.00022829924655071165
4.199999999999996,0,0.000273959095860854
4.199999999999996,20,0.0003196189451709963
4.199999999999996,40,0.0003424488698260675
4.2499999999999964,-20,0.0003172289237324821
4.2499999999999964,0,0.00038067470847897856
4.2499999999999964,20,0.00044412049322547494
4.2499999999999964,40,0.0004758433855987232
4.299999999999995,-20,0.00043089770968818275
4.299999999999995,0,0.0005170772516258193
4.299999999999995,20,0.0006032567935634558
4.299999999999995,40,0.0006463465645322741
