#SOC_lit	V_lit	SOC_delit	V_delit	SOC_avg	V_avg
0.0028864	0.877565	0.0028864	0.98404	0.0028864	0.9308025
0.019830527	0.639348619	0.019830527	0.926149879	0.019830527	0.782749249
0.036774653	0.559521936	0.036774653	0.870794639	0.036774653	0.715158288
0.05371878	0.503340001	0.05371878	0.828136636	0.05371878	0.665738318
0.070662906	0.452149142	0.070662906	0.791728639	0.070662906	0.621938891
0.087607033	0.41396487	0.087607033	0.761420557	0.087607033	0.587692714
0.104551159	0.378125085	0.104551159	0.733499923	0.104551159	0.555812504
0.121495286	0.353343587	0.121495286	0.706921047	0.121495286	0.530132317
0.138439412	0.329513392	0.138439412	0.680887638	0.138439412	0.505200515
0.155383539	0.314284395	0.155383539	0.659588161	0.155383539	0.486936278
0.172327666	0.299055398	0.172327666	0.63954143	0.172327666	0.469298414
0.189271792	0.288012003	0.189271792	0.62101524	0.189271792	0.454513621
0.206215919	0.280073198	0.206215919	0.603055551	0.206215919	0.441564374
0.223160045	0.273151453	0.223160045	0.586471232	0.223160045	0.429811343
0.240104172	0.266977277	0.240104172	0.570614824	0.240104172	0.41879605
0.257048298	0.261015793	0.257048298	0.557071177	0.257048298	0.409043485
0.273992425	0.255126668	0.273992425	0.544673882	0.273992425	0.399900275
0.290936551	0.249540888	0.290936551	0.533356547	0.290936551	0.391448718
0.307880678	0.244671154	0.307880678	0.522777511	0.307880678	0.383724332
0.324824805	0.23980142	0.324824805	0.51279163	0.324824805	0.376296525
0.341768931	0.235528262	0.341768931	0.50419114	0.341768931	0.369859701
0.358713058	0.231534022	0.358713058	0.495639015	0.358713058	0.363586518
0.375657184	0.227591384	0.375657184	0.487366223	0.375657184	0.357478804
0.392601311	0.223929464	0.392601311	0.479188892	0.392601311	0.351559178
0.409545437	0.220267544	0.409545437	0.472033799	0.409545437	0.346150672
0.426489564	0.21622645	0.426489564	0.464878706	0.426489564	0.340552578
0.44343369	0.211609822	0.44343369	0.457049146	0.44343369	0.334329484
0.460377817	0.206993193	0.460377817	0.449117738	0.460377817	0.328055466
0.477321944	0.201770163	0.477321944	0.440413865	0.477321944	0.321092014
0.49426607	0.196205645	0.49426607	0.431404504	0.49426607	0.313805075
0.511210197	0.190641127	0.511210197	0.421865663	0.511210197	0.306253395
0.528154323	0.184861893	0.528154323	0.412191443	0.528154323	0.298526668
0.54509845	0.178922055	0.54509845	0.401831839	0.54509845	0.290376947
0.562042576	0.172982216	0.562042576	0.391224104	0.562042576	0.28210316
0.578986703	0.166269925	0.578986703	0.380575674	0.578986703	0.2734228
0.595930829	0.159158906	0.595930829	0.369898017	0.595930829	0.264528461
0.612874956	0.151993753	0.612874956	0.359682518	0.612874956	0.255838135
0.629819082	0.14392544	0.629819082	0.350048229	0.629819082	0.246986835
0.646763209	0.135857126	0.646763209	0.341270063	0.646763209	0.238563595
0.663707336	0.129288788	0.663707336	0.33327359	0.663707336	0.231281189
0.680651462	0.123187943	0.680651462	0.325601376	0.680651462	0.224394659
0.697595589	0.117087098	0.697595589	0.318207506	0.697595589	0.217647302
0.714539715	0.112842294	0.714539715	0.311116446	0.714539715	0.21197937
0.731483842	0.108744266	0.731483842	0.305034685	0.731483842	0.206889476
0.748427968	0.104669816	0.748427968	0.298952925	0.748427968	0.201811371
0.765372095	0.100711069	0.765372095	0.293273917	0.765372095	0.196992493
0.782316221	0.096752321	0.782316221	0.287660605	0.782316221	0.192206463
0.799260348	0.093077182	0.799260348	0.281975955	0.799260348	0.187526568
0.816204475	0.090223022	0.816204475	0.276148813	0.816204475	0.183185917
0.833148601	0.087368863	0.833148601	0.27032167	0.833148601	0.178845267
0.850092728	0.084074774	0.850092728	0.264204854	0.850092728	0.174139814
0.867036854	0.080618479	0.867036854	0.257934149	0.867036854	0.169276314
0.883980981	0.077162185	0.883980981	0.251663443	0.883980981	0.164412814
0.900925107	0.073724413	0.900925107	0.244558535	0.900925107	0.159141474
0.917869234	0.070683533	0.917869234	0.23702954	0.917869234	0.153856536
0.93481336	0.067642653	0.93481336	0.226643076	0.93481336	0.147142864
0.951757487	0.063113497	0.951757487	0.214257079	0.951757487	0.138685288
0.968701614	0.057863063	0.968701614	0.194591752	0.968701614	0.126227407
0.98564574	0.054363042	0.98564574	0.162358022	0.98564574	0.108360532
1.002589867	0.05247	1.002589867	0.06088	1.002589867	0.056675
