Negative particle concentration [mol.m-3],Negative electrode difusivity [m2.s-1]
73.891626,2.57E-16
246.305419,3.03E-16
418.719212,3.54E-16
714.285714,3.99E-16
1108.374384,4.50E-16
1477.832512,4.83E-16
1847.29064,5.31E-16
2241.37931,6.21E-16
2733.990148,7.60E-16
3177.339901,9.20E-16
3620.689655,1.11E-15
4113.300493,1.36E-15
4630.541872,1.57E-15
5197.044335,1.79E-15
5714.285714,1.93E-15
6280.788177,2.02E-15
6896.551724,1.97E-15
7413.793103,1.84E-15
7832.512315,1.67E-15
8325.123153,1.45E-15
8669.950739,1.27E-15
9039.408867,1.06E-15
9384.236453,8.77E-16
9729.064039,7.08E-16
10073.89163,5.44E-16
10394.08867,4.39E-16
10714.28571,3.58E-16
10960.59113,3.14E-16
11206.89655,2.96E-16
11502.46305,3.14E-16
11847.29064,3.80E-16
12142.85714,4.72E-16
12487.68473,6.13E-16
12832.51232,7.78E-16
13226.60099,1.01E-15
13719.21182,1.21E-15
14014.77833,1.28E-15
14261.08374,1.28E-15
14433.49754,1.24E-15
