Positive particle concentration [mol.m-3],Positive electrode exchange-current density rate [m.s-1]
21.929825,2.27E-10
372.807018,1.74E-10
833.333333,1.24E-10
1293.859649,8.51E-11
1907.894737,4.83E-11
2456.140351,2.96E-11
2960.526316,1.95E-11
3442.982456,1.45E-11
3969.298246,1.16E-11
4802.631579,1.08E-11
5548.245614,1.17E-11
6381.578947,1.18E-11
7192.982456,1.10E-11
8092.105263,8.79E-12
8969.298246,6.65E-12
9649.122807,5.03E-12
10350.87719,3.87E-12
11074.5614,3.34E-12
12171.05263,3.37E-12
13223.68421,3.60E-12
14188.59649,3.30E-12
14934.21053,2.35E-12
15328.94737,1.91E-12
